day,price,benchmark,return_1d,momentum_20,volatility_20,drawdown_60,price_vs_ma50,vix,rate_10y
2025-11-04,99.8297,100.0744,,,,,,17.9948,3.5771
2025-11-05,99.054,99.3064,-0.007770232706298841,,,,,19.7966,3.5995
2025-11-06,100.0378,100.245,0.009931956306661105,,,,,20.3601,3.6066
2025-11-07,98.5978,99.3933,-0.014394558856752115,,,,,20.9897,3.6323
2025-11-08,97.1561,97.367,-0.014622030106148487,,,,,19.6403,3.5989
2025-11-09,97.4815,97.6134,0.0033492493008673296,,,,,20.3975,3.5564
2025-11-10,97.8108,98.0561,0.003378076865866886,,,,,19.4454,3.6572
2025-11-11,98.3595,99.041,0.005609809959636225,,,,,18.6911,3.6065
2025-11-12,98.1139,98.7725,-0.0024969626726446537,,,,,19.7408,3.6172
2025-11-13,97.7778,98.0487,-0.00342561043848022,,,,,19.0768,3.6857
2025-11-14,97.1254,97.5899,-0.006672271210847458,,,,,19.7911,3.5889
2025-11-15,97.2261,98.2387,0.0010368039668304796,,,,,17.1031,3.5661
2025-11-16,97.1915,97.837,-0.00035587152009586287,,,,,18.2091,3.5597
2025-11-17,95.9687,97.1443,-0.012581347134265952,,,,,19.3813,3.6141
2025-11-18,97.2705,98.4121,0.013564839369502701,,,,,19.6351,3.5315
2025-11-19,97.8677,98.6439,0.00613957983150093,,,,,19.0787,3.4544
2025-11-20,97.0741,97.7174,-0.008108906207052957,,,,,20.9568,3.3343
2025-11-21,95.8588,96.7721,-0.012519302264970777,,,,,22.7618,3.3757
2025-11-22,94.2772,94.3076,-0.01649926767286891,,,,,22.8301,3.3365
2025-11-23,93.3836,93.9522,-0.009478431688679678,-0.06457096435229193,0.00850036506091428,,,23.893,3.3524
2025-11-24,93.6462,94.3501,0.0028120569350507107,-0.054594463625901146,0.008576630837789635,,,25.4609,3.3955
2025-11-25,94.1395,94.9948,0.005267699063069342,-0.05896071285054261,0.008695738004886376,,,22.5246,3.4766
2025-11-26,95.0052,95.9532,0.009195927320625241,-0.03643691847079755,0.008644439061677714,,,19.4811,3.4395
2025-11-27,95.7824,95.8279,0.008180604851102835,-0.014139101919488306,0.008495429957281446,,,19.3105,3.5031
2025-11-28,94.7096,95.5993,-0.01120038754510222,-0.028435138975087648,0.008258825113456771,,,20.1591,3.4939
2025-11-29,95.0433,96.1547,0.0035234020627266105,-0.02829442147492911,0.00826374970375413,,,20.2978,3.5629
2025-11-30,94.5345,95.5271,-0.005353349473345426,-0.038887956933494006,0.008239299494025515,,,21.6594,3.562
2025-12-01,93.8421,95.3287,-0.007324310172476589,-0.04353919271377449,0.00814979325965061,,,23.3889,3.5328
2025-12-02,92.7329,94.3026,-0.011819854841270572,-0.05159555645555536,0.008409371280450063,,,22.6794,3.5136
2025-12-03,93.961,94.918,0.01324341199293877,-0.0325805608007792,0.00910170481041899,,,23.9793,3.437
2025-12-04,93.3518,94.6542,-0.0064835410436244745,-0.03984835347710136,0.00909689786180853,,,24.9061,3.4911
2025-12-05,93.6978,95.0027,0.003706409517545417,-0.03594655911267963,0.009158942733247834,,,24.376,3.5259
2025-12-06,93.6055,95.0312,-0.000985081826894496,-0.024624695343377523,0.009154992424968941,,,24.4928,3.5249
2025-12-07,94.3052,95.8667,0.007474988115014458,-0.030485090546465754,0.009020522735648868,,,26.5333,3.5434
2025-12-08,93.9989,95.4307,-0.0032479651175120194,-0.03953091775938322,0.008401760111081596,,,25.5356,3.5971
2025-12-09,93.7706,95.3889,-0.002428751825819253,-0.034030704379438004,0.008208658292218311,,,27.1856,3.4394
2025-12-10,92.8783,94.7116,-0.009515775733545562,-0.03109260704285899,0.008265660739930639,,,26.6455,3.4561
2025-12-11,92.5737,94.7163,-0.003279560457071118,-0.018069055932929623,0.007925670247689923,,,26.0296,3.4265
2025-12-12,94.6538,96.6663,0.02246966471038747,0.013601960087210152,0.008793110189151847,,,24.3769,3.4235
2025-12-13,94.5184,96.5108,-0.0014304761140070399,0.009313778882645618,0.00851913820194442,,,20.0375,3.3974
2025-12-14,95.4331,96.7866,0.009677480786809634,0.013741309439714522,0.008735308612086332,,,19.9418,3.4587
2025-12-15,96.2257,98.1086,0.00830529449425832,0.012846665235165977,0.008834322646310485,,,17.6536,3.4391
2025-12-16,95.9882,98.1672,-0.0024681555966856727,0.002148620205799867,0.008666360984874413,,,19.4795,3.2806
2025-12-17,96.9863,98.3845,0.010398153106319308,0.02403874580823917,0.008776732307684096,,,20.4798,3.1998
2025-12-18,97.198,99.0852,0.0021827825167060055,0.022670719556244334,0.008346354827573548,,,20.2063,3.2233
2025-12-19,97.9536,99.7921,0.007773822506635941,0.03616774828237301,0.008452876088338649,,,20.0559,3.3264
2025-12-20,98.9367,100.5004,0.010036384573920865,0.05428906642114795,0.008490300004825702,,,23.7537,3.2645
2025-12-21,99.8105,101.1236,0.008831909695795392,0.07632242709976733,0.008301297751070443,,,23.3693,3.3162
2025-12-22,100.07,101.6266,0.002599926861402313,0.06501633656517058,0.0075658650298860335,,,20.802,3.233
2025-12-23,100.6838,101.7049,0.006133706405516248,0.07854160284000966,0.007277359144809374,,0.047153602171241316,19.2958,3.1555
2025-12-24,101.8918,103.0725,0.011997957963445938,0.087451359583683,0.007124341446275002,,0.05926295313593255,21.39,3.113
2025-12-25,101.9538,102.5857,0.0006084886124300137,0.08918599868597465,0.007171511518317316,,0.05926884394491716,22.2157,3.2238
2025-12-26,101.1982,102.6484,-0.007411199974890592,0.0730924699804465,0.007533959525223556,,0.05116492958918606,23.2172,3.2242
2025-12-27,99.4628,101.7907,-0.01714852635718811,0.05812727595748446,0.0087661279345771,,0.03295338003239556,22.6046,3.1991
2025-12-28,99.8802,102.3303,0.004196543833473454,0.06515474999626747,0.008662929353898481,,0.03670163469086507,24.2364,3.1499
2025-12-29,100.9615,103.9457,0.010825969511474742,0.08703001669927213,0.008723214531825941,,0.04716845024587246,25.5614,3.1531
2025-12-30,100.3461,103.872,-0.006095392798244781,0.08395905100476697,0.008492141026706241,,0.04023846447329915,24.8827,3.1744
2025-12-31,101.6925,104.9222,0.01341756181854592,0.07436257181433814,0.008564710941497336,,0.0534679490489165,21.0497,3.1642
